,id,mention,cui,start_index,end_index,sentence,uniq_cui
37,37,spijsverteringsstelsel,['C0017189'],215,237,"De derde groep zijn ziekten of aandoeningen van de ogen, de vierde meest voorkomende ingreep zijn ""ziekten of aandoeningen van het hartvaatstelsel en op een vijfde plaats ten slotte ""ziekten of aandoeningen van het spijsverteringsstelsel.",C0017189
38,38,aminozuren,['C0002520'],113,123,"Alles wat leeft, alle organismen bestaan uit en kunnen niet zonder waterstofverbindingen, zoals water, vetten en aminozuren.",C0002520
39,39,longvlies,['C0032225'],71,80,De kanker bleek agressief van aard te zijn en was uitgezaaid naar zijn longvlies.,C0032225
40,40,cervix,['C0007874'],30,36,De zaadcellen bewegen door de cervix en de uterus naar de eileider.,C0007874
41,41,rivierblindheid,['C0029001'],211,226,"In 1982 richtte hij het Carter Center op dat zich inzet voor de mensenrechten, de verbreiding van de democratie, het oplossen van internationale conflicten, en de bestrijding van ziektes zoals dracunculiasis en rivierblindheid.",C0029001
42,42,persoon,['C0086418'],93,100,"Een kenobject of ""kennisobject"" is een samentrekking van ""object van kennis"", en duidt op de persoon, het voorwerp of het verschijnsel in de realiteit, waarnaar de kennis verwijst.",C0086418
43,43,allergenen,['C0016470'],34,44,"Ook de correcte identificatie van allergenen en andere ingrediënten waarvoor sommige consumenten intolerant zijn, behoort tot de voedselveiligheid.",C0016470
44,44,symptomen,['C1457887'],7,16,"Andere symptomen zijn mentale uitputting, bloedarmoede en gewichtsverlies.",C1457887
45,45,wild vlees,['C0016045'],82,92,Het vindt in deze vaste vorm nog wel toepassing bij het aanstippen van wratten of wild vlees.,C0016045
46,46,sodafabriek,['C0074732'],58,69,De Koninklijke Nederlandse Zoutindustrie liet in 1957 een sodafabriek bouwen bij de haven van de stad.,C0074732
47,47,polymeren,['C0032521'],21,30,"Er zijn bijvoorbeeld polymeren die wel door ruthenium en niet door osmium ingekleurd (""gestained"") worden.Ruthenium(VIII)oxide is een vrij gevaarlijk materiaal: als achtwaardige ruthenium-verbinding is het een extreem sterke oxidator.",C0032521
48,48,Ni (nikkel),['C0028013'],80,91,"Verder maximaal 0,5 % Si (silicium), maximaal 0,1 % Cu (koper), maximaal 0,03 % Ni (nikkel).",C0028013
49,49,adenosinetrifosfaat (ATP),['C0001480'],80,105,Sommige enzymen in katabolische paden hebben een allosterische zijde voor zowel adenosinetrifosfaat (ATP) als adenosinemonofosfaat (AMP).,C0001480
50,50,adenosinemonofosfaat (AMP),['C0001465'],110,136,Sommige enzymen in katabolische paden hebben een allosterische zijde voor zowel adenosinetrifosfaat (ATP) als adenosinemonofosfaat (AMP).,C0001465
51,51,chloride-ionen,['C0008203'],70,84,"Natrium is in het lichaam een van de elektrolyten (naast kaliumionen, chloride-ionen en kaliumwaterstofcarbonaat).",C0008203
52,52,Al(OH),['C0002371'],117,123,Een oplossing van aluminiumnitraat is in zuur milieu stabiel maar bij verhoging van de zuurgraad slaat het hydroxide Al(OH) neer.,C0002371
53,53,NaCO,['C0074732'],55,59,In 1702 vermoedde G.E. Stahl een verschil tussen soda (NaCO) en potas (KCO).,C0074732
54,54,KCO,['C0071755'],71,74,In 1702 vermoedde G.E. Stahl een verschil tussen soda (NaCO) en potas (KCO).,C0071755
55,55,parkinsonverschijnselen,['C0242422'],73,96,"Symptomen van mangaanvergiftiging zijn hallucinaties, vergeetachtigheid, parkinsonverschijnselen en schade aan de zenuwbanen.",C0242422
56,56,botmetastasen,['C2939420'],74,87,Sr wordt in de geneeskunde onder andere voor pijnbestrijding gebruikt bij botmetastasen door bijvoorbeeld prostaatkanker.,C2939420
57,57,fluor,['C0016330'],94,99,"Wanneer zwavel zes elektronen afgeeft, bijvoorbeeld als het geoxideerd wordt door zuurstof of fluor neemt het de edelgas configuratie [Ne] aan.",C0016330
58,58,chirurgische ingreep,['C0038894'],79,99,"Een reden ervoor kan zijn het leegmaken van de darmen ter voorbereiding op een chirurgische ingreep, of ter voorbereiding op een medische procedure waarbij anesthesie nodig is.",C0038894
59,59,atomen,['C0567415'],23,29,"IsotoopIsotopen zijn atomen van hetzelfde chemische element, en dus met hetzelfde aantal protonen, waarin de aantallen neutronen in de atoomkern verschillend zijn.",C0567415
60,60,NaOH,['C0037517'],49,53,"Bij het oplossen van chloorgas in een base zoals NaOH ontstaat via een auto-redoxreactie het hypochloriet-ion (OCl), dat beschouwd kan worden als de combinatie van een Cl en een O ion.",C0037517
61,61,isopropanol,['C0022237'],162,173,"Met eventuele resten natrium moet na een reactie dan ook zeer zorgvuldig worden omgegaan, en meestal worden deze resten dan ook afgeblust, met zuivere ethanol of isopropanol.",C0022237
62,62,atomen,['C0567415'],33,39,Een derde van de koper en zwavel atomen vormen een vlakke laag met een grafietstructuur (of juister:,C0567415
63,63,atomen,['C0567415'],91,97,Halveringstijden zijn te vinden in tabellen voor het verval van radio-actieve isotopen van atomen maar bijvoorbeeld ook in tabellen die het verloop van de bloedspiegels van medicijnconcentraties of de snelheid van bepaalde chemische reacties weergeven.,C0567415
64,64,aminozuren,['C0002520'],28,38,"Sommige verbindingen, zoals aminozuren of EDTA, bezitten in dezelfde molecule minstens een zure en een base atoomgroep, waardoor de stof binnen een bepaald pH-gebied als een zwitterion bestaat.",C0002520
65,65,EDTA,['C0013618'],42,46,"Sommige verbindingen, zoals aminozuren of EDTA, bezitten in dezelfde molecule minstens een zure en een base atoomgroep, waardoor de stof binnen een bepaald pH-gebied als een zwitterion bestaat.",C0013618
66,66,waanzin,['C0221503'],76,83,Volgens de Romeinse mythologie brachten de Furiae de dader uiteindelijk tot waanzin.,C0221503
67,67,He,['C0018880'],189,191,"De reden daarvoor is dat het energieverschil tussen de s- en de p-subschil steeds groter wordt, waardoor de ns configuratie zich steeds meer op die van een edelgas begint te gelijken (vgl. He).",C0018880
68,68,aplastische anemie,"['C0002874', 'C0178416']",14,32,Patiënten met aplastische anemie kunnen worden behandeld met antithymocytenglobuline (ATG).,C0002874
69,69,seleniden,['C0036581'],29,38,"Het selenide, of beter beide seleniden",C0036581
70,70,kindermisbruik,['C0030764'],185,199,"In 2001 ontstond opnieuw rumoer, nu omdat koning Albert weigerde de Prijs der Nederlandse Letteren uit te reiken aan Reve, omdat diens levenspartner Joop Schafthuizen werd verdacht van kindermisbruik en het bezit van kinderporno.",C0030764
71,71,tyfus,"['C0041471', 'C0041472', 'C0041473', 'C0343758']",94,99,Verwaarloosde en uitgeputte gevangenen werden het slachtoffer van besmettelijke ziektes zoals tyfus.,C0041471
72,72,Ammoniak,['C0002607'],10,18,Vloeibare Ammoniak (NH) is een goed voorbeeld.,C0002607
73,73,atomen,['C0567415'],100,106,"De constante van Avogadro wordt in de scheikunde gebruikt om het verband te leggen tussen aantallen atomen en moleculen enerzijds, en massa's in gram anderzijds.",C0567415
74,74,symptomen,['C1457887'],47,56,"Naarmate de ziekte langer duurt, kunnen andere symptomen ontstaan:",C1457887
75,75,lever-,['C0023884'],197,203,"Daar reageert een elektrofiel op de 2- en 4-positie in de ring, omdat de elektronendensiteit verhoogd is.Pyridine is schadelijk en kan duizeligheid, misselijkheid, slapeloosheid, oogirritatie en lever- en nierschade veroorzaken.",C0023884
76,76,antrax,['C0003175'],108,114,"Uit de oorlog tegen Iran en andere bronnen waren sterke aanwijzingen dat men tevens de beschikking had over antrax, verschillende bacteriële vergiften, alsmede sarin, tabun en waterstofcyanide.",C0003175
77,77,wanen,['C0011253'],60,65,"De aandoening kan gepaard gaan met hallucinaties, paranoia, wanen en denkstoornissen.",C0011253
78,78,zieke,['C0012634'],90,95,"De pathologie, ook wel pathologische anatomie of ziekteanatomie genoemd, is de studie van zieke organen, terwijl secties van normale anatomie, die op diverse doeleinden worden toegepast, speciale namen hebben zoals medische, chirurgische en gynaecologische anatomie.",C0012634
79,79,coronavirus,"['C5203670', 'CL1381981']",125,136,Vanaf midden maart 2020 moest Bakkum zijn tournee echter noodgedwongen stilleggen in verband met het op dat moment heersende coronavirus.,C5203670
80,80,2-propanol,['C0022237'],88,98,Droogijs wordt vaak gebruikt in combinatie met een bepaald oplosmiddel (zoals aceton of 2-propanol) om een koelbad te vormen voor de uitvoering van bepaalde experimenten in de organische synthese.,C0022237
81,81,sulfaten,['C3536965'],42,50,De zouten en esters van zwavelzuur worden sulfaten genoemd.,C3536965
82,82,keelholte,"['C0031354', 'C1278903']",133,142,"Het middenoor bestaat uit de trommelholte die normaal met lucht is gevuld, die via de buis van Eustachius in verbinding staat met de keelholte.",C0031354
83,83,blaas,['C0005682'],52,57,"Zo toonde hij bijvoorbeeld aan dat urine niet in de blaas, maar in de nieren werd gevormd.",C0005682
84,84,linkerhartkamer,['C0225897'],92,107,"een dissectie van de wand van het kransvat, embolisatie van een stolsel (trombus) vanuit de linkerhartkamer of vasculitis van een kransvat.",C0225897
85,85,ritmestoornissen,"['C0340464', 'C0003811', 'C0237314']",89,105,"Uit een ecg is veel informatie te krijgen over de werking van de hartspier, met name bij ritmestoornissen.",C0340464
86,86,Zwangerschapsdiabetes,['C0085207'],282,303,"De exacte redenen waarmee overgewicht kan bijdragen tot ontwikkeling van DM-type II zijn nog niet ontegenzeggelijk geïdentificeerd, maar over de bijdrage van vrije vetzuren (NEFAs, naar het Engelse non-esterified fatty acids) worden volgende mogelijkheden alvast niet uitgesloten:Zwangerschapsdiabetes is een bijzonder geval van diabetes type 2, waarbij de moederkoek van de foetus hormonen (o.a. HPL, cortisol) aanmaakt die de insuline van de moeder tegenwerken.",C0085207
87,87,CO,['C0007012'],58,60,"Bij de reactie komen onder andere de gasvormige producten CO en N vrij, naast kaliumsulfaat en kaliumcarbonaat.",C0007012
88,88,symptomen,['C1457887'],29,38,Ziekte gaat vaak gepaard met symptomen die wijzen op de abnormale toestand.,C1457887
89,89,pedoseksualiteit,['C0030764'],137,153,"Voor zover de incest wordt gepleegd tussen volwassenen en jonge kinderen, is er sprake van seksueel misbruik, en meestal een overlap met pedoseksualiteit.",C0030764
90,90,Lymeziekte,"['C0024198', 'C0752235']",62,72,"De bekendste Europese teek, die tevens een overbrenger is van Lymeziekte, FSME en het alfa-galsyndroom, is de schapenteek (""Ixodes ricinus"").",C0024198
91,91,lens in het oog,['C0023317'],99,114,"Vroeger werd een oculair ook wel een ""ooglens"" genoemd, maar deze term kan verwarring geven met de lens in het oog.",C0023317
92,92,myopie,['C0027092'],32,38,"Dit betreft in de eerste plaats myopie (bijziendheid), hypermetropie (verziendheid) en presbyopie (ouderdomsverziendheid of kortweg oudziendheid).",C0027092
93,93,hypermetropie,['C0020490'],55,68,"Dit betreft in de eerste plaats myopie (bijziendheid), hypermetropie (verziendheid) en presbyopie (ouderdomsverziendheid of kortweg oudziendheid).",C0020490
94,94,presbyopie,['C0033075'],87,97,"Dit betreft in de eerste plaats myopie (bijziendheid), hypermetropie (verziendheid) en presbyopie (ouderdomsverziendheid of kortweg oudziendheid).",C0033075
95,95,segmenten,['C0376449'],21,30,Het bestaat uit drie segmenten en de bouw ervan hangt samen met de voortbeweging.,C0376449
96,96,intercellulaire,['C0162367'],62,77,"Het water buiten de cellen kan verder worden onderverdeeld in intercellulaire- of weefselvloeistof, en intra-vasculaire (binnen de bloedvaten) vloeistof of bloedplasma, het vloeibare gedeelte van bloed.",C0162367
97,97,paranoide waandenkbeelden,['C1456784'],66,91,Op het eind van zijn leven verergerde dit tot de ontwikkeling van paranoide waandenkbeelden.,C1456784
98,98,ziekenhuizen,['C0019994'],45,57,"Roeselare had al lange tijd twee middelgrote ziekenhuizen, elk met hun eigen sterktes en specialisaties, namelijk het Stedelijk Ziekenhuis (openbaar bestuur) en het Heilig-Hart Ziekenhuis (privaat bestuur).",C0019994
99,99,CO,['C0007012'],82,84,"De verbranding van kerosine en benzine zorgt voor de uitstoot van het broeikasgas CO, waterdamp, NO en roetdeeltjes (fijnstof).",C0007012
100,100,dyspeptische klachten,['C0013395'],52,73,"Echte kaneel (""Cinnamomum verum"") wordt ingezet bij dyspeptische klachten zoals darmkrampen, een opgeblazen gevoel, eetlustverlies en diarree.",C0013395
101,101,functioneel analfabeet,['C0020899'],15,37,Hiervan is 10% functioneel analfabeet.,C0020899
102,102,gewrichtspijnen,['C0003864'],118,133,"Op de huid wordt peper toegepast in ""capsicumcrème,"" dat een warmtegevoel en een versterkte doorbloeding geeft en bij gewrichtspijnen wordt toegepast.",C0003864
103,103,vitamine B,['C0035527'],57,67,"Cayennepeper bevat relatief veel vitamine A en bevat ook vitamine B, vitamine B, vitamine C, vitamine E, kalium en mangaan.",C0035527
104,104,kooldioxide,['C0007012'],28,39,In 2018 was de uitstoot van kooldioxide 536 miljoen ton.,C0007012
105,105,tbc,['C0041296'],75,78,"Twee jaar later op 9 mei 1891, ze was veertien, verloor ze haar moeder aan tbc, waarna Margaretha op 15-jarige leeftijd bij haar peetoom en voogd, de koopman Roelof Visser en tante Huberdina Zelle in Sneek ging wonen.",C0041296
106,106,systemische reactie,['C0002792'],76,95,"Een ernstige allergische reactie op een wespensteek openbaart zich door een systemische reactie (dat wil zeggen de verschijnselen openbaren zich uitgebreider dan alleen beperkt tot het gestoken ledemaat) met jeuk, een vlekkerige uitslag, zwelling van de lippen en het gezicht, moeilijke ademhaling en eventueel braken of diarree.",C0002792
107,107,ATP,['C0001480'],95,98,"De mitochondriën gebruiken deze energierijke elektronen om tijdens de oxidatieve fosforylering ATP, NADH en FADH te produceren.",C0001480
108,108,mitochondriën,['C0026237'],111,124,"Eukaryoten hebben een complexere, gecompartimenteerde celbouw met verschillende organellen, zoals een celkern, mitochondriën, een golgicomplex, endoplasmatisch reticulum, flagellen en cilia.",C0026237
109,109,celplasma,['C0010834'],113,122,Na de transcriptie verlaten deze mRNA-moleculen de celkern en verplaatsen zich naar andere delen van de cel (het celplasma of naar het endoplasmatisch reticulum).,C0010834
110,110,celplasma,['C0010834'],120,129,Na de transcriptie verlaten die mRNA-moleculen de celkern en verplaatsen ze zich naar andere delen van de cel (naar het celplasma of naar het endoplasmatisch reticulum).,C0010834
111,111,epidemieën,['C0014499'],30,40,"Door een genocide op burgers, epidemieën en hongersnood nam de omvang van de Congolese bevolking sterk af.",C0014499
112,112,Helium,['C0018880'],66,72,Dit heeft weer tot gevolg dat de koelvloeistof (meestal vloeibaar Helium) gaat koken en verdampt.,C0018880
113,113,chirurg,['C0038894'],81,88,"Het aanpassen van prothesen en orthesen wordt op voorschrift van de orthopedisch chirurg of revalidatiearts, uitgevoerd door een orthopedisch technicus.",C0038894
114,114,chirurgen,['C0038894'],39,48,"Deze kan ook, naast de specialisten en chirurgen, werkzaam zijn in ziekenhuizen en andere medische instellingen.",C0038894
115,115,TIA,"['C0917805', 'C0007787', 'C0155728']",151,154,"Met MR-angiografie (afbeelding bloedvaten met contrastvloeistof) kan men de plek in de bloedvaten opsporen, waar de bloedproppen die de beroerte of de TIA (transient ischemic attack) veroorzaakten vandaan kwamen.",C0917805
116,116,uitzaaien,['C2939420'],27,36,"Zonder behandeling kan dit uitzaaien, een proces dat metastase wordt genoemd waarbij deze tumorcellen zich buiten de longen uitbreiden naar nabijgelegen weefsels of andere lichaamsdelen.",C2939420
117,117,diafragma,['C0011980'],49,58,"De lever is, behalve op de plek waar hij aan het diafragma vastzit, volledig bedekt door het buikvlies, een dun dubbellaags membraan dat wrijving met andere organen vermindert.",C0011980
118,118,loensende,"['C0029831', 'C0038379']",71,80,Hierdoor lijkt de pupil peer- of druppelvormig en krijgt de specht een loensende blik.,C0029831
119,119,Natriumacetaat,['C0887700'],93,107,"Methaan kan worden gevormd uit gemakkelijk afbreekbare organische stoffen, zoals azijnzuur:Natriumacetaat kan ook samen met natriumhydroxide methaan vormen:",C0887700
120,120,koolmonoxide,['C0007018'],27,39,"De concentratieschaal voor koolmonoxide (CO) werd zo gekozen dat de hoogste percentielen uit het verleden een kleurindex 8 à 9 opleveren, terwijl de 30e percentiel overeenstemt met kleurindex 1.",C0007018
121,121,luchtwegen,['C0035237'],38,48,Ozon is irriterend voor de ogen en de luchtwegen.,C0035237
122,122,DNA-onderzoek,['C0679560'],62,75,"Een genetische vingerafdruk (""DNA profiling"") is een vorm van DNA-onderzoek dat veel gebruikt wordt in forensisch onderzoek.",C0679560
123,123,ademhalingsorganen,['C0035237'],46,64,"Long (orgaan)Longen zijn gepaarde inwendige ademhalingsorganen van gewervelde dieren, met uitzondering van de meeste vissen en sommige amfibieën.",C0035237
124,124,bicarbonaat,['C2722820'],45,56,Door de aanwezigheid van gezamenlijk kalk en bicarbonaat in water kan drijvend op de thee een laagje mineralen worden waargenomen.,C2722820
125,125,encefalitis,['C0014038'],205,216,"Mogelijkerwijs kreeg Caligula door zijn grote inspanningen na zes maanden regering een zenuwinzinking en leed hij daarop aan een zware ziekte, die door de antieke auteurs in verband werd gebracht met een ""encefalitis"" („hersenontsteking“).",C0014038
126,126,mensen,['C0086418'],84,90,"BloedBloed is een vloeistof, op basis van water, die in het lichaam van dieren en mensen circuleert voor o.a. de verdeling van voedingsstoffen en voor de afvoer van overtollige stoffen van de stofwisseling.",C0086418
127,127,afvoer,['C0221102'],156,162,"BloedBloed is een vloeistof, op basis van water, die in het lichaam van dieren en mensen circuleert voor o.a. de verdeling van voedingsstoffen en voor de afvoer van overtollige stoffen van de stofwisseling.",C0221102
128,128,samentrekkend,['C0026820'],91,104,Insecten beschikken over een open bloedsomloop met een buisvormig hart dat bestaat uit een samentrekkend buisvormig hart met daarvoor een niet-samentrekkende aorta.,C0026820
129,129,uterus,['C0042149'],62,68,"Niet zelden eten deze embryos de nog onbevruchte eieren in de uterus van het moederdier op, zodat er minder jongen worden geboren.",C0042149
130,130,syndactiel,['C0039075'],14,24,De poten zijn syndactiel: de voortenen zijn aan de basis gedeeltelijk met elkaar vergroeid.,C0039075
131,131,DNA-onderzoek,['C0679560'],24,37,"Dit werd bevestigd door DNA-onderzoek en tegenwoordig wordt de cro-magnonmens als gewone moderne mens gezien, in de Angelsaksische wetenschappelijke literatuur ""European Early Modern Humans"" (""EEMH"") genoemd, ofwel Europese vroege moderne mens.",C0679560
132,132,COPD,['C0024117'],17,21,Deze ziekte heet COPD en kan ernstig invaliderend zijn wanneer er niet gestopt wordt met roken.,C0024117
133,133,functioneel analfabetisme,['C0020899'],5,30,"Het ""functioneel analfabetisme"" is in China echter nog steeds hoog.",C0020899
134,134,NaOH,['C0037517'],28,32,We hebben een oplossing van NaOH waarvan we de concentratie (vaak nog sterkte genoemd) willen bepalen.,C0037517
135,135,hoge bloeddruk,"['C0020538', 'C0497247']",157,171,"Ook werd geconcludeerd dat HS bescherming kan bieden bij zuurstofgebrek, zoals bijvoorbeeld tijdens een hart- of niertransplantatie, of in het geval van een hoge bloeddruk.",C0020538
136,136,huidirritaties,['C0015230'],59,73,"Het verzacht de huid en zorgt voor verlichting bij jeuk en huidirritaties als eczeem, acne, zonnebrand en allergische reacties.",C0015230
137,137,2-propanol,['C0022237'],67,77,Deze precursors zijn methylfosfonzuurdifluoride en een mengsel van 2-propanol en 2-propylamine.,C0022237
138,138,polymeren,['C0032521'],130,139,"Als in plaats van een mono-amine een diamine wordt gebruikt, is het mogelijk moleculen met 2 isocyanaatgroepen te vormen, waaruit polymeren te vormen zijn.",C0032521
139,139,COVID-19,"['C5203670', 'CL1381981']",193,201,"De partij pleit voor hogere lonen voor zorgpersoneel en daarnaast ook voor de democratische en centrale aansturing van de zorg en de medicijnenproductie, in het bijzonder sinds de uitbraak van COVID-19 in Nederland.",C5203670
140,140,Ademhalingsstelsel,['C0035237'],104,122,"Soms is de bradycardie klinisch niet zichtbaar, omdat de hypoxie, veroorzaakt door de ""Killer B`s"" (zie Ademhalingsstelsel), vaak tot een orthosympathische reactie van het hart- en vaatstelsel leidt.",C0035237
141,141,Sertolicel,['C0036770'],64,74,De eerst solide zaadbalstrengen bestaan nu uit spermatogonia en Sertolicelen en hebben geen dwarsverbindingen meer.,C0036770
142,142,soda,['C0074732'],331,335,"Islamitische alchemisten zoals Muhammad ibn Zakarīya Rāzi (Latijn: Rhazes) en de al genoemde Jabir ibn Hayyan droegen een aantal belangrijke chemische ontdekkingen bij, zoals de techniek van de distillatie (de woorden alambiek en alcohol zijn van Arabische oorsprong), muriatic (zoutzuur), zwavelzuur (vitrioololie), salpeterzuur, soda, potas en meer.",C0074732
143,143,ijzerpentacarbonyl,['C0876769'],147,165,"De pi-backbonding verklaart de stabiliteit van een aantal carbonylcomplexen zoals chroomhexacarbonyl, molybdeenhexacarbonyl, wolfraamhexacarbonyl, ijzerpentacarbonyl en nikkeltetracarbonyl.",C0876769
