,"sentence","mention","prediction_basemodel","cui_prediction_basemodel","prediction_sapbert","cui_prediction_sapbert","grade"
15895,"ben ik behandeld voor borstkanker gezien mijn leeftijd, meest voorkomend, locatie van de uitzaaiingen, en daardoor krijg ik wel een mammografie als controle, terwijl uit alle onderzoeken nooit een duidelijke kankersoort geconstateerd is . ","kankersoort","grond","C0037592","maligniteit","C1288351",2
16529,"kunnen zijn bloeding in tumor of verdringing van bloedvormend beenmerg door tumor .Alkalische Fosfatase (AF)Normaalwaarden lager dan 125 U/l Alkalische fosfatase is een enzym dat zowel in de lever als in het skelet actief is . ","bloeding","extravasatie bloed","C0019080","extravasatie bloed","C0019080",1
16530,"kunnen zijn bloeding in tumor of verdringing van bloedvormend beenmerg door tumor .Alkalische Fosfatase (AF)Normaalwaarden lager dan 125 U/l Alkalische fosfatase is een enzym dat zowel in de lever als in het skelet actief is . ","tumor","zwelling (ex k07)","C0038999","tumor","C0027651",1
16531,"kunnen zijn bloeding in tumor of verdringing van bloedvormend beenmerg door tumor .Alkalische Fosfatase (AF)Normaalwaarden lager dan 125 U/l Alkalische fosfatase is een enzym dat zowel in de lever als in het skelet actief is . ","verdringing","verdringing","C0035143","verdringing","C0035143",1
16532,"kunnen zijn bloeding in tumor of verdringing van bloedvormend beenmerg door tumor .Alkalische Fosfatase (AF)Normaalwaarden lager dan 125 U/l Alkalische fosfatase is een enzym dat zowel in de lever als in het skelet actief is . ","bloedvormend beenmerg","medulla ossium flava","C0229625","medulla ossium","C0438737",2
16533,"kunnen zijn bloeding in tumor of verdringing van bloedvormend beenmerg door tumor .Alkalische Fosfatase (AF)Normaalwaarden lager dan 125 U/l Alkalische fosfatase is een enzym dat zowel in de lever als in het skelet actief is . ","Alkalische Fosfatase","serum alkalische fosfatase bot","C0857883","creatinekinase","C0201973",3
16534,"kunnen zijn bloeding in tumor of verdringing van bloedvormend beenmerg door tumor .Alkalische Fosfatase (AF)Normaalwaarden lager dan 125 U/l Alkalische fosfatase is een enzym dat zowel in de lever als in het skelet actief is . ","AFNormaalwaarden","geactiveerde partiële tromboplastinetijd onder referentie-interval","C5547554","hypofosfatasemie","C0020630",3
16535,"kunnen zijn bloeding in tumor of verdringing van bloedvormend beenmerg door tumor .Alkalische Fosfatase (AF)Normaalwaarden lager dan 125 U/l Alkalische fosfatase is een enzym dat zowel in de lever als in het skelet actief is . ","Alkalische","climacteriële symptomen","C1306878","urine bij jicht","C0278038",3
16536,"kunnen zijn bloeding in tumor of verdringing van bloedvormend beenmerg door tumor .Alkalische Fosfatase (AF)Normaalwaarden lager dan 125 U/l Alkalische fosfatase is een enzym dat zowel in de lever als in het skelet actief is . ","fosfatase","fosfine","C0070813","phospholipid phosphatase 1","C5444120",2
16537,"kunnen zijn bloeding in tumor of verdringing van bloedvormend beenmerg door tumor .Alkalische Fosfatase (AF)Normaalwaarden lager dan 125 U/l Alkalische fosfatase is een enzym dat zowel in de lever als in het skelet actief is . ","enzym","enzym","C0014442","enzym","C0014442",1
16538,"kunnen zijn bloeding in tumor of verdringing van bloedvormend beenmerg door tumor .Alkalische Fosfatase (AF)Normaalwaarden lager dan 125 U/l Alkalische fosfatase is een enzym dat zowel in de lever als in het skelet actief is . ","lever","lever","C0023884","lever","C0023884",1
16539,"kunnen zijn bloeding in tumor of verdringing van bloedvormend beenmerg door tumor .Alkalische Fosfatase (AF)Normaalwaarden lager dan 125 U/l Alkalische fosfatase is een enzym dat zowel in de lever als in het skelet actief is . ","skelet","skelet","C0816871","skelet","C0005931",1
23686,"heb een paar maanden later de verpleegkundig specialist gebeld en gevraagd of ik de MDL-arts kon spreken . ","verpleegkundig specialist","verwijzing door 'nurse practitioner'","C0584568","verpleegkundig specialisme","C0037779",2
23687,"heb een paar maanden later de verpleegkundig specialist gebeld en gevraagd of ik de MDL-arts kon spreken . ","MDL-arts","verwijzing door MDL-arts","C0583846","gastro-enterologie","C0017163",2
25556,"vrienden, partners, familie enz .Maar of je nu veel of weinig hulp nodig bent bij je dagelijkse verzorging/huishouden/ziekenhuisbezoeken, 1 ding blijft: Er is een soort afhankelijkheidsrelatie tussen jou als patiÃ«nt en je mantelzorger(s). ","vrienden","vriendin","C0079382","vriendin","C0079382",2
25557,"vrienden, partners, familie enz .Maar of je nu veel of weinig hulp nodig bent bij je dagelijkse verzorging/huishouden/ziekenhuisbezoeken, 1 ding blijft: Er is een soort afhankelijkheidsrelatie tussen jou als patiÃ«nt en je mantelzorger(s). ","partners","lege uterus","C0582413","vault-ribonucloeproteïnepartikels","C0600579",4
25558,"vrienden, partners, familie enz .Maar of je nu veel of weinig hulp nodig bent bij je dagelijkse verzorging/huishouden/ziekenhuisbezoeken, 1 ding blijft: Er is een soort afhankelijkheidsrelatie tussen jou als patiÃ«nt en je mantelzorger(s). ","familie","gezinstherapie","C0015618","multigenfamilie","C0017363",2
25559,"vrienden, partners, familie enz .Maar of je nu veel of weinig hulp nodig bent bij je dagelijkse verzorging/huishouden/ziekenhuisbezoeken, 1 ding blijft: Er is een soort afhankelijkheidsrelatie tussen jou als patiÃ«nt en je mantelzorger(s). ","enz","atypische kliercellen met onduidelijke betekenis","C0521185","methyl benzylidene camphor","C0094910",4
25560,"vrienden, partners, familie enz .Maar of je nu veel of weinig hulp nodig bent bij je dagelijkse verzorging/huishouden/ziekenhuisbezoeken, 1 ding blijft: Er is een soort afhankelijkheidsrelatie tussen jou als patiÃ«nt en je mantelzorger(s). ","hulp","thuiszorg","C0009471","waarnemingshulpen","C0036672",2
25561,"vrienden, partners, familie enz .Maar of je nu veel of weinig hulp nodig bent bij je dagelijkse verzorging/huishouden/ziekenhuisbezoeken, 1 ding blijft: Er is een soort afhankelijkheidsrelatie tussen jou als patiÃ«nt en je mantelzorger(s). ","dagelijkse","dagelijkse koorts","C0424771","davalintide","C2827125",4
25562,"vrienden, partners, familie enz .Maar of je nu veel of weinig hulp nodig bent bij je dagelijkse verzorging/huishouden/ziekenhuisbezoeken, 1 ding blijft: Er is een soort afhankelijkheidsrelatie tussen jou als patiÃ«nt en je mantelzorger(s). ","verzorginghuishoudenziekenhuisbezoeken","visite","C0020043","verlenen van ziekenhuiszorg","C0259945",4
25563,"vrienden, partners, familie enz .Maar of je nu veel of weinig hulp nodig bent bij je dagelijkse verzorging/huishouden/ziekenhuisbezoeken, 1 ding blijft: Er is een soort afhankelijkheidsrelatie tussen jou als patiÃ«nt en je mantelzorger(s). ","afhankelijkheidsrelatie","minderheidsgroep","C0026192","relatie, gastheer-parasiet-","C0020034",4
25564,"vrienden, partners, familie enz .Maar of je nu veel of weinig hulp nodig bent bij je dagelijkse verzorging/huishouden/ziekenhuisbezoeken, 1 ding blijft: Er is een soort afhankelijkheidsrelatie tussen jou als patiÃ«nt en je mantelzorger(s). ","patiënt","patiënten","C0030705","patiënten","C0030705",1
25565,"vrienden, partners, familie enz .Maar of je nu veel of weinig hulp nodig bent bij je dagelijkse verzorging/huishouden/ziekenhuisbezoeken, 1 ding blijft: Er is een soort afhankelijkheidsrelatie tussen jou als patiÃ«nt en je mantelzorger(s). ","mantelzorgers","saccharomyces cerevisiae","C0036025","mantelzorger ondersteund","C0557498",1
25790,"alles zou het risico op baarmoederkanker verminderen . ","risico","zwangerschapdragende","C0038947","identificeren van risico","C0150323",2
25791,"alles zou het risico op baarmoederkanker verminderen . ","baarmoederkanker","primair maligne neoplasma van baarmoeder","C3838720","uteruskanker","C0153567",1
27812,"tot nu toe Tergooi Blaricum, morgen Hilversum, maar wil je daar wel de behandeling krijgen? ","Tergooi Blaricum","ganglion mesentericum","C1282357","ludwig-angina","C0024081",4
27813,"tot nu toe Tergooi Blaricum, morgen Hilversum, maar wil je daar wel de behandeling krijgen? ","Hilversum","revaccinatie","C0020975","chronische recidiverende inflammatoire optische neuropathie","C5567234",4
27814,"tot nu toe Tergooi Blaricum, morgen Hilversum, maar wil je daar wel de behandeling krijgen? ","behandeling","therapieën","C0087111","sociotherapie","C0026118",2
28250,"bijna een jaar verder sluit ik volgende week het programma herstel en balans af dat ik volg via het ziekenhuis en moet ik eind november nog een keer geopereerd worden . ","programma","revalidatietherapie","C0034991","programmaontwikkeling","C0033333",4
28251,"bijna een jaar verder sluit ik volgende week het programma herstel en balans af dat ik volg via het ziekenhuis en moet ik eind november nog een keer geopereerd worden . ","herstel","reduceren","C1293152","verlenging","C1293122",3
28252,"bijna een jaar verder sluit ik volgende week het programma herstel en balans af dat ik volg via het ziekenhuis en moet ik eind november nog een keer geopereerd worden . ","ziekenhuis","ware kies van permanent gebit","C0026367","ziekenhuis, voedingsdienst van een","C0016489",2
28253,"bijna een jaar verder sluit ik volgende week het programma herstel en balans af dat ik volg via het ziekenhuis en moet ik eind november nog een keer geopereerd worden . ","geopereerd","getransplanteerd os","C0278416","operon","C0029073",3
29137,"ik binnen sport dan doe ik dat zonder oortjes in en dan glimlach ik tegen en om mezelf en daardoor kom je sneller in contact met anderen, waardoor je makkelijker sport en het uurtje zo voorbij is . ","binnen","uitpersen","C0185117","binnenste helft van tandglazuur","C4041253",4
29138,"ik binnen sport dan doe ik dat zonder oortjes in en dan glimlach ik tegen en om mezelf en daardoor kom je sneller in contact met anderen, waardoor je makkelijker sport en het uurtje zo voorbij is . ","sport","ecg","C1623258","sportscreme","C0723424",3
29139,"ik binnen sport dan doe ik dat zonder oortjes in en dan glimlach ik tegen en om mezelf en daardoor kom je sneller in contact met anderen, waardoor je makkelijker sport en het uurtje zo voorbij is . ","oortjes","orf","C0013570","opaciteit","C1265876",3
29140,"ik binnen sport dan doe ik dat zonder oortjes in en dan glimlach ik tegen en om mezelf en daardoor kom je sneller in contact met anderen, waardoor je makkelijker sport en het uurtje zo voorbij is . ","contact","GGZ","C0184643","opsporing, contact-","C0079161",2
29141,"ik binnen sport dan doe ik dat zonder oortjes in en dan glimlach ik tegen en om mezelf en daardoor kom je sneller in contact met anderen, waardoor je makkelijker sport en het uurtje zo voorbij is . ","anderen","therapie, bewegings-","C0452240","veranderen van identiteit","C0337644",3
31463,"Had hij langer&nbsp;geleefd en misschien was hij dan wel genezen;- maar zoals ik inmiddels heb begrepen uit&nbsp;bestudering van vele verhandelingen over Ewingsarcomen in het algemeen, blijft het helaas maar al te vaak koffiedik kijken....... ","uit bestudering","visleverolie gewonnen uit haaien","C0304888","gezakt voor examens","C0476586",4
31464,"Had hij langer&nbsp;geleefd en misschien was hij dan wel genezen;- maar zoals ik inmiddels heb begrepen uit&nbsp;bestudering van vele verhandelingen over Ewingsarcomen in het algemeen, blijft het helaas maar al te vaak koffiedik kijken....... ","verhandelingen","verhouding begonnen","C0425180","handelingen om af te vallen","C0424413",2
31465,"Had hij langer&nbsp;geleefd en misschien was hij dan wel genezen;- maar zoals ik inmiddels heb begrepen uit&nbsp;bestudering van vele verhandelingen over Ewingsarcomen in het algemeen, blijft het helaas maar al te vaak koffiedik kijken....... ","Ewingsarcomen","verlamming van klumpke door geboortetrauma","C0270108","spiermitochondrium","C0026240",3
31466,"Had hij langer&nbsp;geleefd en misschien was hij dan wel genezen;- maar zoals ik inmiddels heb begrepen uit&nbsp;bestudering van vele verhandelingen over Ewingsarcomen in het algemeen, blijft het helaas maar al te vaak koffiedik kijken....... ","koffiedik","schedeldak","C0205950","koffiedik braken","C1510416",4
36344,"beter nog, genezen worden .Ik heb zelf nu zelf twee series chemotherapie gehad, een serie bestralingen en nu sta ik op Tarceva . ","series","anesthesiologie","C0002930","test of proef als onderdeel van lichamelijk onderzoek","C1293836",3
36345,"beter nog, genezen worden .Ik heb zelf nu zelf twee series chemotherapie gehad, een serie bestralingen en nu sta ik op Tarceva . ","chemotherapie","therapie, medicamenteuze","C0013216","chemokuur","C3665472",1
36346,"beter nog, genezen worden .Ik heb zelf nu zelf twee series chemotherapie gehad, een serie bestralingen en nu sta ik op Tarceva . ","bestralingen","werkt mee met afname van peritonealedialysevloeistof","C3266677","residu van bestrijdingsmiddelen","C0031251",3
36347,"beter nog, genezen worden .Ik heb zelf nu zelf twee series chemotherapie gehad, een serie bestralingen en nu sta ik op Tarceva . ","Tarceva","tarceva","C1135136","zea mays starch","C1384515",3
47850,"doel van de workshop is vooral om elkaar te inspireren, door met elkaar uit te wisselen over wat jou helpt, ook al is het moeilijk en met respect voor ieders verhaal .Het project âĢľDoodgewone gesprekkenâĢĿ van Stichting OlijfStichting Olijf krijgt regelmatig vragen van lotgenotes die geconfronteerd zijn met een hele slechte prognose . ","workshop","top van arteria carotis","C1301412","accupril","C0244580",4
47851,"doel van de workshop is vooral om elkaar te inspireren, door met elkaar uit te wisselen over wat jou helpt, ook al is het moeilijk en met respect voor ieders verhaal .Het project âĢľDoodgewone gesprekkenâĢĿ van Stichting OlijfStichting Olijf krijgt regelmatig vragen van lotgenotes die geconfronteerd zijn met een hele slechte prognose . ","inspireren","hoofdpijn bij inspanning","C2363911","transpireren","C0038990",4
47852,"doel van de workshop is vooral om elkaar te inspireren, door met elkaar uit te wisselen over wat jou helpt, ook al is het moeilijk en met respect voor ieders verhaal .Het project âĢľDoodgewone gesprekkenâĢĿ van Stichting OlijfStichting Olijf krijgt regelmatig vragen van lotgenotes die geconfronteerd zijn met een hele slechte prognose . ","ieders","akten","C2369991","venectasie","C0042345",4
47853,"doel van de workshop is vooral om elkaar te inspireren, door met elkaar uit te wisselen over wat jou helpt, ook al is het moeilijk en met respect voor ieders verhaal .Het project âĢľDoodgewone gesprekkenâĢĿ van Stichting OlijfStichting Olijf krijgt regelmatig vragen van lotgenotes die geconfronteerd zijn met een hele slechte prognose . ","verhaal","sperma-injecties, intracytoplasmatische","C0455164","conflict met studenten","C0686985",4
47854,"doel van de workshop is vooral om elkaar te inspireren, door met elkaar uit te wisselen over wat jou helpt, ook al is het moeilijk en met respect voor ieders verhaal .Het project âĢľDoodgewone gesprekkenâĢĿ van Stichting OlijfStichting Olijf krijgt regelmatig vragen van lotgenotes die geconfronteerd zijn met een hele slechte prognose . ","project","instelling","C0004271","project, pilot-","C0031928",4
47855,"doel van de workshop is vooral om elkaar te inspireren, door met elkaar uit te wisselen over wat jou helpt, ook al is het moeilijk en met respect voor ieders verhaal .Het project âĢľDoodgewone gesprekkenâĢĿ van Stichting OlijfStichting Olijf krijgt regelmatig vragen van lotgenotes die geconfronteerd zijn met een hele slechte prognose . ","âĢľDoodgewone","beoordelen met MTM","C2960298","leest punjabi","C1277148",4
47856,"doel van de workshop is vooral om elkaar te inspireren, door met elkaar uit te wisselen over wat jou helpt, ook al is het moeilijk en met respect voor ieders verhaal .Het project âĢľDoodgewone gesprekkenâĢĿ van Stichting OlijfStichting Olijf krijgt regelmatig vragen van lotgenotes die geconfronteerd zijn met een hele slechte prognose . ","gesprekkenâĢĿ","ribonucleïnezuur-'regulatory'-sequenties","C1138413","krukenberg-spoel","C0271278",4
47857,"doel van de workshop is vooral om elkaar te inspireren, door met elkaar uit te wisselen over wat jou helpt, ook al is het moeilijk en met respect voor ieders verhaal .Het project âĢľDoodgewone gesprekkenâĢĿ van Stichting OlijfStichting Olijf krijgt regelmatig vragen van lotgenotes die geconfronteerd zijn met een hele slechte prognose . ","Stichting OlijfStichting Olijf","prepaid tandheelkunde","C0011333","zure sinaasappel 7","C0069592",4
47858,"doel van de workshop is vooral om elkaar te inspireren, door met elkaar uit te wisselen over wat jou helpt, ook al is het moeilijk en met respect voor ieders verhaal .Het project âĢľDoodgewone gesprekkenâĢĿ van Stichting OlijfStichting Olijf krijgt regelmatig vragen van lotgenotes die geconfronteerd zijn met een hele slechte prognose . ","lotgenotes","fesoterodine","C2343853","positief opvoeden","C4040683",3
47859,"doel van de workshop is vooral om elkaar te inspireren, door met elkaar uit te wisselen over wat jou helpt, ook al is het moeilijk en met respect voor ieders verhaal .Het project âĢľDoodgewone gesprekkenâĢĿ van Stichting OlijfStichting Olijf krijgt regelmatig vragen van lotgenotes die geconfronteerd zijn met een hele slechte prognose . ","slechte","chronische trombo-embolische pulmonale hypertensie","C2363973","slechte algemene gezondheid","C1277248",4
47860,"doel van de workshop is vooral om elkaar te inspireren, door met elkaar uit te wisselen over wat jou helpt, ook al is het moeilijk en met respect voor ieders verhaal .Het project âĢľDoodgewone gesprekkenâĢĿ van Stichting OlijfStichting Olijf krijgt regelmatig vragen van lotgenotes die geconfronteerd zijn met een hele slechte prognose . ","prognose","prognosticeren","C0033325","prognosticeren","C0033325",1
50252,"een nacht in het ziekenhuis mocht ik weer naar huis . ","nacht","rug","C0004600","nyctalopie","C0028077",4
50253,"een nacht in het ziekenhuis mocht ik weer naar huis . ","het ziekenhuis","hernieuwde opname in een ziekenhuis","C0600290","ziekenhuis, voedingsdienst van een","C0016489",2
52032,"groep is voor iedereen die is getroffen door lymfklierkanker . ","groep","cycloguanyl","C0056751","groep kleine, vaak harde, vergrote lymfeklieren, doorgaans zonder klinische significantie","C4076726",3
52033,"groep is voor iedereen die is getroffen door lymfklierkanker . ","lymfklierkanker","tumor van speekselklier","C0220636","sarcoom, germinoblastair","C0024299",1
56911,"andere studies die de Italianen bekeken hebben suggereren dat het blokkeren van HR2 ook de overlevingskansen van bestaande darmkankerpatienten verbetert . ","Italianen","tetomilast","C1876228","crotalus atrox immune fab antivenin (ovine)","C2726769",3
56912,"andere studies die de Italianen bekeken hebben suggereren dat het blokkeren van HR2 ook de overlevingskansen van bestaande darmkankerpatienten verbetert . ","blokkeren","leukostasissyndroom","C0282548","blokverdoving","C0198802",4
56913,"andere studies die de Italianen bekeken hebben suggereren dat het blokkeren van HR2 ook de overlevingskansen van bestaande darmkankerpatienten verbetert . ","HR2","NO2","C0028160","p-butylaminobenzoic acid ω-o-methylnonaethyleneglycol ester","C0053229",4
56914,"andere studies die de Italianen bekeken hebben suggereren dat het blokkeren van HR2 ook de overlevingskansen van bestaande darmkankerpatienten verbetert . ","overlevingskansen","overlevingsanalyse","C0038953","veretsen","C0007471",3
56915,"andere studies die de Italianen bekeken hebben suggereren dat het blokkeren van HR2 ook de overlevingskansen van bestaande darmkankerpatienten verbetert . ","darmkankerpatienten","thyroïdneoplasma maligne","C0007115","primaire maligniteit van darmkanaal","C1299288",2
61290,"telde ik niet de hele sessie zoals jij maar vooral steeds de verschillende periodes van en tussen tussen de verschillende deelfracties, paar seconden straling, paar seconden rust, paar seconden straling, paar seconden rust . ","sessie","obsessies","C0233697","ondersteuningsgroep","C1271033",4
61291,"telde ik niet de hele sessie zoals jij maar vooral steeds de verschillende periodes van en tussen tussen de verschillende deelfracties, paar seconden straling, paar seconden rust, paar seconden straling, paar seconden rust . ","periodes","stelen tijdens kindertijd","C0856614","verlate menstruatie","C0240322",4
61292,"telde ik niet de hele sessie zoals jij maar vooral steeds de verschillende periodes van en tussen tussen de verschillende deelfracties, paar seconden straling, paar seconden rust, paar seconden straling, paar seconden rust . ","deelfracties","voorhuidvernauwing","C0031538","verdrinking en niet-fatale tewaterraking","C0013143",4
61293,"telde ik niet de hele sessie zoals jij maar vooral steeds de verschillende periodes van en tussen tussen de verschillende deelfracties, paar seconden straling, paar seconden rust, paar seconden straling, paar seconden rust . ","paar","intolerantie","C1744706","paarbinding","C0030209",4
61294,"telde ik niet de hele sessie zoals jij maar vooral steeds de verschillende periodes van en tussen tussen de verschillende deelfracties, paar seconden straling, paar seconden rust, paar seconden straling, paar seconden rust . ","seconden","hondenziekte","C0205740","zorgvuldig karakter","C0580939",4
61295,"telde ik niet de hele sessie zoals jij maar vooral steeds de verschillende periodes van en tussen tussen de verschillende deelfracties, paar seconden straling, paar seconden rust, paar seconden straling, paar seconden rust . ","straling","straling","C0851346","straling","C0851346",1
61296,"telde ik niet de hele sessie zoals jij maar vooral steeds de verschillende periodes van en tussen tussen de verschillende deelfracties, paar seconden straling, paar seconden rust, paar seconden straling, paar seconden rust . ","rust","revalidatie","C0009940","kaaklift","C0396612",3
61297,"telde ik niet de hele sessie zoals jij maar vooral steeds de verschillende periodes van en tussen tussen de verschillende deelfracties, paar seconden straling, paar seconden rust, paar seconden straling, paar seconden rust . ","seconden straling","selectieve interne stralingstherapie","C1831994","chimeer door straling","C1318486",4
67805,"zaterdag 8 november hield dokter Niels van de Donk een uitstekende presentatie over Multipel Myeloom voor de regio Noord-West . ","november","elektroretinogram","C0013867","cade","C0330157",4
67806,"zaterdag 8 november hield dokter Niels van de Donk een uitstekende presentatie over Multipel Myeloom voor de regio Noord-West . ","Niels van de Donk","gehele sertolicel","C1277066","oxaydo","C4050801",4
67807,"zaterdag 8 november hield dokter Niels van de Donk een uitstekende presentatie over Multipel Myeloom voor de regio Noord-West . ","presentatie","syndroom","C0039082","ethisch consult","C0600380",4
67808,"zaterdag 8 november hield dokter Niels van de Donk een uitstekende presentatie over Multipel Myeloom voor de regio Noord-West . ","Multipel","botverlies","C0029453","ziekte van kahler","C0026764",4
67809,"zaterdag 8 november hield dokter Niels van de Donk een uitstekende presentatie over Multipel Myeloom voor de regio Noord-West . ","Myeloom","ziekte van kahler","C0026764","solitair plasmacytoom van bot","C0032131",2
67810,"zaterdag 8 november hield dokter Niels van de Donk een uitstekende presentatie over Multipel Myeloom voor de regio Noord-West . ","regio Noord-West","SPG41","C3888208","regio van spina iliaca anterior superior van romp","C3698085",4
73888,"mensen ik had er even niet aan gedacht dat Kanker .nl een Nederlandse site is dus het was een beetje onbenullig van mij om hier een lap Engels talige tekst te plaatsen .Bedankt Otto dat je het hebt gemeld .Ik zal in het kort even in het Nederlands vertellen waar het Engelse stuk over gaat .Vorige maand heb ik mij in China laten behandelen voor een tumor . ","Kanker","nucleus van cerebellum","C0007763","kaneelboom","C0008802",4
73889,"mensen ik had er even niet aan gedacht dat Kanker .nl een Nederlandse site is dus het was een beetje onbenullig van mij om hier een lap Engels talige tekst te plaatsen .Bedankt Otto dat je het hebt gemeld .Ik zal in het kort even in het Nederlands vertellen waar het Engelse stuk over gaat .Vorige maand heb ik mij in China laten behandelen voor een tumor . ","lap","weefsellap, chirurgische","C0038925","weefsellap, chirurgische","C0038925",4
73890,"mensen ik had er even niet aan gedacht dat Kanker .nl een Nederlandse site is dus het was een beetje onbenullig van mij om hier een lap Engels talige tekst te plaatsen .Bedankt Otto dat je het hebt gemeld .Ik zal in het kort even in het Nederlands vertellen waar het Engelse stuk over gaat .Vorige maand heb ik mij in China laten behandelen voor een tumor . ","Engels","smaak","C0039336","leest engels","C1277154",4
73891,"mensen ik had er even niet aan gedacht dat Kanker .nl een Nederlandse site is dus het was een beetje onbenullig van mij om hier een lap Engels talige tekst te plaatsen .Bedankt Otto dat je het hebt gemeld .Ik zal in het kort even in het Nederlands vertellen waar het Engelse stuk over gaat .Vorige maand heb ik mij in China laten behandelen voor een tumor . ","talige","spotting menstrueel","C0312414","ouderen, gebrekkige","C0079377",4
